neighbourhood_group,neighbourhood
AROUCA,Alvarenga
AROUCA,Arouca e Burgo
AROUCA,Cabreiros e Albergaria da Serra
AROUCA,Canelas e Espiunca
AROUCA,Chave
AROUCA,Covelo de Paivó e Janarde
AROUCA,Escariz
AROUCA,Fermedo
AROUCA,Mansores
AROUCA,Moldes
AROUCA,Rossas
AROUCA,Santa Eulália
AROUCA,São Miguel do Mato
AROUCA,Tropeço
AROUCA,Urrô
AROUCA,Várzea
ESPINHO,Anta e Guetim
ESPINHO,Espinho
ESPINHO,Paramos
ESPINHO,Silvalde
GONDOMAR,Baguim do Monte (Rio Tinto)
GONDOMAR,Fânzeres e São Pedro da Cova
GONDOMAR,Foz do Sousa e Covelo
GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim"
GONDOMAR,Lomba
GONDOMAR,Melres e Medas
GONDOMAR,Rio Tinto
MAIA,Águas Santas
MAIA,Castêlo da Maia
MAIA,Cidade da Maia
MAIA,Folgosa
MAIA,Milheirós
MAIA,Moreira
MAIA,Nogueira e Silva Escura
MAIA,Pedrouços
MAIA,São Pedro Fins
MAIA,Vila Nova da Telha
MATOSINHOS,"Custóias, Leça do Balio e Guifões"
MATOSINHOS,Matosinhos e Leça da Palmeira
MATOSINHOS,"Perafita, Lavra e Santa Cruz do Bispo"
MATOSINHOS,São Mamede de Infesta e Senhora da Hora
OLIVEIRA DE AZEMÉIS,Carregosa
OLIVEIRA DE AZEMÉIS,Cesar
OLIVEIRA DE AZEMÉIS,Fajões
OLIVEIRA DE AZEMÉIS,Loureiro
OLIVEIRA DE AZEMÉIS,Macieira de Sarnes
OLIVEIRA DE AZEMÉIS,Nogueira do Cravo e Pindelo
OLIVEIRA DE AZEMÉIS,"O. Azeméis, Riba-Ul, Ul, Macinhata da Seixa, Madail"
OLIVEIRA DE AZEMÉIS,Ossela
OLIVEIRA DE AZEMÉIS,"Pinheiro da Bemposta, Travanca e Palmaz"
OLIVEIRA DE AZEMÉIS,São Martinho da Gândara
